Offence_Category,Offender_Count
02 Acts intended to cause injury(f) ,1336544.0
021 Assault,1236151.0
10 Illicit drug offences(l),1108940.0
13 Public order offences(m),958762.0
08 Theft(i)(j),774669.0
104 Possess and/or use illicit drugs,739170.0
082 Theft (except motor vehicles),612019.0
15 Offences against justice(n)(o),461810.0
131 Disorderly conduct,422285.0
16 Miscellaneous offences,362893.0
12 Property damage and environmental pollution,281083.0
132 Regulated public order offences,279287.0
133 Offensive conduct,256591.0
153 Breach of violence and non-violence orders,231754.0
07 Unlawful entry with intent,212492.0
11 Weapons/explosives,207692.0
156 Offences against justice procedures,182438.0
09 Fraud/deception(k),173356.0
102 Deal or traffic in illicit drugs,145662.0
03 Sexual assault and related offences(g),134620.0
091 Obtain benefit by deception,132832.0
029 Other acts intended to cause injury,99998.0
031 Sexual assault,94832.0
103 Manufacture or cultivate illicit drugs,91220.0
081 Motor vehicle theft,83997.0
05 Abduction/harassment,69653.0
083 Receive or handle proceeds of crime,69178.0
06 Robbery/extortion,62594.0
032 Non–assaultive sexual offences,39792.0
04 Dangerous/negligent acts(h),34056.0
099 Other fraud and deception offences,27575.0
01 Homicide and related offences(e),12002.0
092 Forgery and counterfeiting,9003.0
011 Murder,4753.0
013 Manslaughter and driving causing death,4433.0
012 Attempted Murder,2799.0
093 Deceptive business/government practices,2465.0
