Offence_Category,Offender_Rate
02 Acts intended to cause injury(f) ,405.9
021 Assault,363.2
10 Illicit drug offences(l),195.9
08 Theft(i)(j),145.3
15 Offences against justice(n)(o),132.2
104 Possess and/or use illicit drugs,130.3
13 Public order offences(m),127.5
082 Theft (except motor vehicles),108.2
153 Breach of violence and non-violence orders,85.7
131 Disorderly conduct,75.1
11 Weapons/explosives,69.1
12 Property damage and environmental pollution,56.5
07 Unlawful entry with intent,42.9
029 Other acts intended to cause injury,42.7
03 Sexual assault and related offences(g),41.4
132 Regulated public order offences,36.1
09 Fraud/deception(k),32.6
16 Miscellaneous offences,32.3
156 Offences against justice procedures,31.3
102 Deal or traffic in illicit drugs,29.6
031 Sexual assault,27.1
091 Obtain benefit by deception,23.8
081 Motor vehicle theft,21.4
05 Abduction/harassment,17.7
06 Robbery/extortion,16.4
133 Offensive conduct,16.4
103 Manufacture or cultivate illicit drugs,14.9
083 Receive or handle proceeds of crime,14.7
032 Non–assaultive sexual offences,14.3
04 Dangerous/negligent acts(h),8.4
099 Other fraud and deception offences,5.8
01 Homicide and related offences(e),2.5
092 Forgery and counterfeiting,2.3
013 Manslaughter and driving causing death,1.1
011 Murder,0.9
012 Attempted Murder,0.5
093 Deceptive business/government practices,0.5
