Offence_Category,Year,Offender_Count,Offender_Rate
01 Homicide and related offences(e),2008–09,816.0,4.4
011 Murder,2008–09,318.0,1.7
012 Attempted Murder,2008–09,232.0,1.2
013 Manslaughter and driving causing death,2008–09,260.0,1.4
02 Acts intended to cause injury(f) ,2008–09,72069.0,384.9
021 Assault,2008–09,69218.0,369.6
029 Other acts intended to cause injury,2008–09,2728.0,14.6
03 Sexual assault and related offences(g),2008–09,6340.0,33.9
031 Sexual assault,2008–09,4979.0,26.6
032 Non–assaultive sexual offences,2008–09,1363.0,7.3
04 Dangerous/negligent acts(h),2008–09,1680.0,9.0
05 Abduction/harassment,2008–09,3598.0,19.2
06 Robbery/extortion,2008–09,3911.0,20.9
07 Unlawful entry with intent,2008–09,15887.0,84.8
08 Theft(i)(j),2008–09,58941.0,314.8
081 Motor vehicle theft,2008–09,5438.0,29.0
082 Theft (except motor vehicles),2008–09,48203.0,257.4
083 Receive or handle proceeds of crime,2008–09,4296.0,22.9
09 Fraud/deception(k),2008–09,10138.0,54.1
091 Obtain benefit by deception,2008–09,7267.0,38.8
092 Forgery and counterfeiting,2008–09,762.0,4.1
093 Deceptive business/government practices,2008–09,255.0,1.4
099 Other fraud and deception offences,2008–09,1769.0,9.4
10 Illicit drug offences(l),2008–09,56310.0,300.7
102 Deal or traffic in illicit drugs,2008–09,7310.0,39.0
103 Manufacture or cultivate illicit drugs,2008–09,5912.0,31.6
104 Possess and/or use illicit drugs,2008–09,37387.0,199.7
11 Weapons/explosives,2008–09,8962.0,47.9
12 Property damage and environmental pollution,2008–09,21953.0,117.2
13 Public order offences(m),2008–09,65962.0,352.2
131 Disorderly conduct,2008–09,29428.0,157.2
132 Regulated public order offences,2008–09,20609.0,110.1
133 Offensive conduct,2008–09,15831.0,84.5
15 Offences against justice(n)(o),2008–09,26201.0,139.9
153 Breach of violence and non-violence orders,2008–09,7332.0,39.2
156 Offences against justice procedures,2008–09,15148.0,80.9
16 Miscellaneous offences,2008–09,16957.0,90.6
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2008–09,,
01 Homicide and related offences(e),2009–10,880.0,4.6
011 Murder,2009–10,326.0,1.7
012 Attempted Murder,2009–10,227.0,1.2
013 Manslaughter and driving causing death,2009–10,322.0,1.7
02 Acts intended to cause injury(f) ,2009–10,72280.0,379.0
021 Assault,2009–10,69079.0,362.2
029 Other acts intended to cause injury,2009–10,3082.0,16.2
03 Sexual assault and related offences(g),2009–10,6412.0,33.6
031 Sexual assault,2009–10,4889.0,25.6
032 Non–assaultive sexual offences,2009–10,1517.0,8.0
04 Dangerous/negligent acts(h),2009–10,1823.0,9.6
05 Abduction/harassment,2009–10,3948.0,20.7
06 Robbery/extortion,2009–10,4070.0,21.3
07 Unlawful entry with intent,2009–10,15609.0,81.9
08 Theft(i)(j),2009–10,64382.0,337.6
081 Motor vehicle theft,2009–10,5226.0,27.4
082 Theft (except motor vehicles),2009–10,53802.0,282.1
083 Receive or handle proceeds of crime,2009–10,4381.0,23.0
09 Fraud/deception(k),2009–10,9651.0,50.6
091 Obtain benefit by deception,2009–10,6977.0,36.6
092 Forgery and counterfeiting,2009–10,625.0,3.3
093 Deceptive business/government practices,2009–10,247.0,1.3
099 Other fraud and deception offences,2009–10,1700.0,8.9
10 Illicit drug offences(l),2009–10,57899.0,303.6
102 Deal or traffic in illicit drugs,2009–10,7052.0,37.0
103 Manufacture or cultivate illicit drugs,2009–10,6578.0,34.5
104 Possess and/or use illicit drugs,2009–10,38052.0,199.5
11 Weapons/explosives,2009–10,8654.0,45.4
12 Property damage and environmental pollution,2009–10,21067.0,110.5
13 Public order offences(m),2009–10,75200.0,394.3
131 Disorderly conduct,2009–10,31261.0,163.9
132 Regulated public order offences,2009–10,21481.0,112.6
133 Offensive conduct,2009–10,22363.0,117.3
15 Offences against justice(n)(o),2009–10,26092.0,136.8
153 Breach of violence and non-violence orders,2009–10,7970.0,41.8
156 Offences against justice procedures,2009–10,15067.0,79.0
16 Miscellaneous offences,2009–10,19228.0,100.8
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2009–10,,
01 Homicide and related offences(e),2010–11,757.0,3.9
011 Murder,2010–11,303.0,1.6
012 Attempted Murder,2010–11,192.0,1.0
013 Manslaughter and driving causing death,2010–11,256.0,1.3
02 Acts intended to cause injury(f) ,2010–11,70573.0,364.9
021 Assault,2010–11,67219.0,347.5
029 Other acts intended to cause injury,2010–11,3317.0,17.1
03 Sexual assault and related offences(g),2010–11,5796.0,30.0
031 Sexual assault,2010–11,4548.0,23.5
032 Non–assaultive sexual offences,2010–11,1247.0,6.4
04 Dangerous/negligent acts(h),2010–11,1801.0,9.3
05 Abduction/harassment,2010–11,3563.0,18.4
06 Robbery/extortion,2010–11,3996.0,20.7
07 Unlawful entry with intent,2010–11,15158.0,78.4
08 Theft(i)(j),2010–11,64806.0,335.0
081 Motor vehicle theft,2010–11,5029.0,26.0
082 Theft (except motor vehicles),2010–11,54949.0,284.1
083 Receive or handle proceeds of crime,2010–11,3999.0,20.7
09 Fraud/deception(k),2010–11,9046.0,46.8
091 Obtain benefit by deception,2010–11,6722.0,34.8
092 Forgery and counterfeiting,2010–11,429.0,2.2
093 Deceptive business/government practices,2010–11,215.0,1.1
099 Other fraud and deception offences,2010–11,1581.0,8.2
10 Illicit drug offences(l),2010–11,58700.0,303.5
102 Deal or traffic in illicit drugs,2010–11,6748.0,34.9
103 Manufacture or cultivate illicit drugs,2010–11,6203.0,32.1
104 Possess and/or use illicit drugs,2010–11,39042.0,201.8
11 Weapons/explosives,2010–11,8820.0,45.6
12 Property damage and environmental pollution,2010–11,19937.0,103.1
13 Public order offences(m),2010–11,73845.0,381.8
131 Disorderly conduct,2010–11,28063.0,145.1
132 Regulated public order offences,2010–11,21480.0,111.1
133 Offensive conduct,2010–11,24226.0,125.2
15 Offences against justice(n)(o),2010–11,23776.0,122.9
153 Breach of violence and non-violence orders,2010–11,8348.0,43.2
156 Offences against justice procedures,2010–11,13186.0,68.2
16 Miscellaneous offences,2010–11,22190.0,114.7
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2010–11,,
01 Homicide and related offences(e),2011–12,661.0,3.4
011 Murder,2011–12,261.0,1.3
012 Attempted Murder,2011–12,168.0,0.9
013 Manslaughter and driving causing death,2011–12,237.0,1.2
02 Acts intended to cause injury(f) ,2011–12,68476.0,348.6
021 Assault,2011–12,64981.0,330.8
029 Other acts intended to cause injury,2011–12,3449.0,17.6
03 Sexual assault and related offences(g),2011–12,6019.0,30.6
031 Sexual assault,2011–12,4591.0,23.4
032 Non–assaultive sexual offences,2011–12,1431.0,7.3
04 Dangerous/negligent acts(h),2011–12,1899.0,9.7
05 Abduction/harassment,2011–12,3488.0,17.8
06 Robbery/extortion,2011–12,3620.0,18.4
07 Unlawful entry with intent,2011–12,13934.0,70.9
08 Theft(i)(j),2011–12,64587.0,328.8
081 Motor vehicle theft,2011–12,4929.0,25.1
082 Theft (except motor vehicles),2011–12,54873.0,279.4
083 Receive or handle proceeds of crime,2011–12,4074.0,20.7
09 Fraud/deception(k),2011–12,8690.0,44.2
091 Obtain benefit by deception,2011–12,6439.0,32.8
092 Forgery and counterfeiting,2011–12,412.0,2.1
093 Deceptive business/government practices,2011–12,131.0,0.7
099 Other fraud and deception offences,2011–12,1635.0,8.3
10 Illicit drug offences(l),2011–12,60729.0,309.2
102 Deal or traffic in illicit drugs,2011–12,7333.0,37.3
103 Manufacture or cultivate illicit drugs,2011–12,5885.0,30.0
104 Possess and/or use illicit drugs,2011–12,40239.0,204.9
11 Weapons/explosives,2011–12,9651.0,49.1
12 Property damage and environmental pollution,2011–12,18385.0,93.6
13 Public order offences(m),2011–12,69442.0,353.5
131 Disorderly conduct,2011–12,27382.0,139.4
132 Regulated public order offences,2011–12,20333.0,103.5
133 Offensive conduct,2011–12,21691.0,110.4
15 Offences against justice(n)(o),2011–12,22927.0,116.7
153 Breach of violence and non-violence orders,2011–12,8383.0,42.7
156 Offences against justice procedures,2011–12,12751.0,64.9
16 Miscellaneous offences,2011–12,24397.0,124.2
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2011–12,,
01 Homicide and related offences(e),2012–13,728.0,3.6
011 Murder,2012–13,296.0,1.5
012 Attempted Murder,2012–13,173.0,0.9
013 Manslaughter and driving causing death,2012–13,258.0,1.3
02 Acts intended to cause injury(f) ,2012–13,70371.0,352.3
021 Assault,2012–13,66406.0,332.4
029 Other acts intended to cause injury,2012–13,3913.0,19.6
03 Sexual assault and related offences(g),2012–13,6173.0,30.9
031 Sexual assault,2012–13,4475.0,22.4
032 Non–assaultive sexual offences,2012–13,1696.0,8.5
04 Dangerous/negligent acts(h),2012–13,1897.0,9.5
05 Abduction/harassment,2012–13,3773.0,18.9
06 Robbery/extortion,2012–13,3634.0,18.2
07 Unlawful entry with intent,2012–13,12713.0,63.6
08 Theft(i)(j),2012–13,62520.0,313.0
081 Motor vehicle theft,2012–13,4693.0,23.5
082 Theft (except motor vehicles),2012–13,53086.0,265.8
083 Receive or handle proceeds of crime,2012–13,4099.0,20.5
09 Fraud/deception(k),2012–13,10126.0,50.7
091 Obtain benefit by deception,2012–13,7885.0,39.5
092 Forgery and counterfeiting,2012–13,421.0,2.1
093 Deceptive business/government practices,2012–13,104.0,0.5
099 Other fraud and deception offences,2012–13,1638.0,8.2
10 Illicit drug offences(l),2012–13,65346.0,327.1
102 Deal or traffic in illicit drugs,2012–13,7861.0,39.4
103 Manufacture or cultivate illicit drugs,2012–13,5870.0,29.4
104 Possess and/or use illicit drugs,2012–13,43439.0,217.5
11 Weapons/explosives,2012–13,10524.0,52.7
12 Property damage and environmental pollution,2012–13,18000.0,90.1
13 Public order offences(m),2012–13,73940.0,370.2
131 Disorderly conduct,2012–13,27181.0,136.1
132 Regulated public order offences,2012–13,22844.0,114.4
133 Offensive conduct,2012–13,23876.0,119.5
15 Offences against justice(n)(o),2012–13,24288.0,121.6
153 Breach of violence and non-violence orders,2012–13,9218.0,46.1
156 Offences against justice procedures,2012–13,13123.0,65.7
16 Miscellaneous offences,2012–13,29453.0,147.4
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2012–13,,
01 Homicide and related offences(e),2013–14,677.0,3.3
011 Murder,2013–14,270.0,1.3
012 Attempted Murder,2013–14,169.0,0.8
013 Manslaughter and driving causing death,2013–14,236.0,1.2
02 Acts intended to cause injury(f) ,2013–14,71395.0,352.0
021 Assault,2013–14,67081.0,330.7
029 Other acts intended to cause injury,2013–14,4311.0,21.3
03 Sexual assault and related offences(g),2013–14,7255.0,35.8
031 Sexual assault,2013–14,5163.0,25.5
032 Non–assaultive sexual offences,2013–14,2092.0,10.3
04 Dangerous/negligent acts(h),2013–14,2079.0,10.2
05 Abduction/harassment,2013–14,3975.0,19.6
06 Robbery/extortion,2013–14,3330.0,16.4
07 Unlawful entry with intent,2013–14,12483.0,61.5
08 Theft(i)(j),2013–14,47913.0,236.2
081 Motor vehicle theft,2013–14,4409.0,21.7
082 Theft (except motor vehicles),2013–14,38764.0,191.1
083 Receive or handle proceeds of crime,2013–14,4150.0,20.5
09 Fraud/deception(k),2013–14,11944.0,58.9
091 Obtain benefit by deception,2013–14,9608.0,47.4
092 Forgery and counterfeiting,2013–14,430.0,2.1
093 Deceptive business/government practices,2013–14,120.0,0.6
099 Other fraud and deception offences,2013–14,1715.0,8.5
10 Illicit drug offences(l),2013–14,73300.0,361.3
102 Deal or traffic in illicit drugs,2013–14,8737.0,43.1
103 Manufacture or cultivate illicit drugs,2013–14,6562.0,32.3
104 Possess and/or use illicit drugs,2013–14,47987.0,236.6
11 Weapons/explosives,2013–14,10513.0,51.8
12 Property damage and environmental pollution,2013–14,17443.0,86.0
13 Public order offences(m),2013–14,77043.0,379.8
131 Disorderly conduct,2013–14,27982.0,137.9
132 Regulated public order offences,2013–14,24783.0,122.2
133 Offensive conduct,2013–14,24275.0,119.7
15 Offences against justice(n)(o),2013–14,25529.0,125.8
153 Breach of violence and non-violence orders,2013–14,10176.0,50.2
156 Offences against justice procedures,2013–14,13278.0,65.5
16 Miscellaneous offences,2013–14,22454.0,110.7
Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,2013–14,,
01 Homicide and related offences(e),2014–15,712.0,3.5
011 Murder,2014–15,304.0,1.5
012 Attempted Murder,2014–15,172.0,0.8
013 Manslaughter and driving causing death,2014–15,235.0,1.1
02 Acts intended to cause injury(f) ,2014–15,72721.0,353.5
021 Assault,2014–15,68002.0,330.5
029 Other acts intended to cause injury,2014–15,4721.0,22.9
03 Sexual assault and related offences(g),2014–15,7639.0,37.1
031 Sexual assault,2014–15,5445.0,26.5
032 Non–assaultive sexual offences,2014–15,2190.0,10.6
04 Dangerous/negligent acts(h),2014–15,2135.0,10.4
05 Abduction/harassment,2014–15,4592.0,22.3
06 Robbery/extortion,2014–15,3172.0,15.4
07 Unlawful entry with intent,2014–15,11742.0,57.1
08 Theft(i)(j),2014–15,39424.0,191.6
081 Motor vehicle theft,2014–15,4539.0,22.1
082 Theft (except motor vehicles),2014–15,30164.0,146.6
083 Receive or handle proceeds of crime,2014–15,4274.0,20.8
09 Fraud/deception(k),2014–15,12509.0,60.8
091 Obtain benefit by deception,2014–15,10114.0,49.2
092 Forgery and counterfeiting,2014–15,491.0,2.4
